title,year,director,actor1,actor2,genre,rating,country,releasedate
Fight Club,1999,David Fincher,Brad Pitt,Edward Norton,Drama,8.8,USA,15-Oct-99
Talk to Me,2007,Kasi Lemmons,Don Cheadle,Chiwetel Ejiofor,Biography,7.4,USA,3-Aug-07
Sexina,2007,Erik Sharkey,Adam West,Annie Golden,Comedy,4.5,USA,6-Nov-07
The Buskers & Lou,2014,None,Marshall Walker Lee,Megan Carver,Drama,6.6,USA,20-Jun-14
The Wednesday Night Save the World Society,2001,None,Dwight Hicks,Ruth de Sosa,Comedy,8.3,USA,1-Dec-01
The Beacon,2009,Michael Stokes,Teri Polo,David Rees Snell,Action,4.8,USA,13-Sep-11
Crisis,1997,Jalal Merhi,David Bradley,Brad Milne,Action,4.5,USA,22-Jun-99
Bloodfist,1989,Terence H. Winkless,Don Wilson,Joe Mari Avellana,Action,4.9,USA,22-Sep-89
The Tree Widow,2015,Alison Mills Newman,Trenell Blanks,Jayvon Bowens,Drama,8,USA,16-Dec-15
Scrooge & Marley,2012,Peter Neville,David Pevsner,Tim Kazurinsky,Drama,6.9,USA,1-Dec-12
The Wedding Singer,1998,Frank Coraci,Adam Sandler,Drew Barrymore,Comedy,6.8,USA,13-Feb-98
Ride the High Country,1962,Sam Peckinpah,Joel McCrea,Randolph Scott,Western,7.6,USA,14-Jul-62
These Hopeless Savages,2014,Kaitlyn Busbee,Matt Dellapina,Sean Christopher Lewis,Comedy,6.8,USA,5-Mar-15
Terrible Things,2010,None,Mark Laurnoff,Jeremy King,Action,5,USA,4-Mar-10
Lady Dynamite,1983,None,Lili Marlene,Colleen Brennan,Adult,5.7,USA,NA
The Hitmen Diaries: Charlie Valentine,2009,Jesse V. Johnson,Raymond J. Barry,Michael Weatherly,Crime,5.5,USA,1-Mar-09
Night of the Living Dead,1990,Tom Savini,Tony Todd,Patricia Tallman,Horror,6.9,USA,19-Oct-90
Games Couples Play,1987,Hal Freeman,Peter North,Herschel Savage,Adult,5.9,USA,NA
Streets of Vengeance,2016,Angelica De Alba,Delawna McKinney,Anthony Iava To'omata,Action,6.6,USA,13-Oct-16
The Pony Man,2012,None,Dennis Moore,Debbie Wooten,Comedy,8.6,USA,NA
The Haunted Mansion,2003,Rob Minkoff,Eddie Murphy,Marsha Thomason,Comedy,4.9,USA,26-Nov-03
American Violence,2015,None,Katherine Castro,Rose Bianco,Crime,7.2,USA,8-Dec-15
Revolving Teens,1973,Harry Reems,Valerie Marron,Any Mathieu,Adult,5,USA,31-Oct-73
Death of a Porn Crew,2014,Michael Stoller,Katherine Bar,Jordan Brown,Comedy,6.8,USA,19-Mar-16
Unwritten Obsession,2017,David MartÃ­n Porras,Haley Webb,Shawn Christian,Thriller,5.8,USA,27-Aug-17
Forever Fabulous,1999,Werner Molinsky,Jean Smart,Jennifer Elise Cox,Comedy,7.2,USA,7-Oct-99
The Last One Left,2015,Larry Rosen,Oriana D'Agostino,Libra Jiminez,Thriller,8.7,USA,NA
Bitch,2017,None,Marianna Palka,Jason Ritter,Comedy,5,USA,10-Nov-17
Hard to Handle,1987,None,Tony Martino,Rachel Ashley,Adult,5.4,USA,1987
The Don of 42nd Street,2009,Fred Gallo,John Hoyt,Nick Damici,Comedy,7.6,USA,NA
Running Out of Time in Hollywood,2006,Catherine Carlen,Lela Rochon,John Diehl,Drama,8.2,USA,2006
Rumblestrips,2011,None,John Adams,Lulu Adams,Drama,7.1,USA,NA
Star Wars: Episode III - Revenge of the Sith,2005,None,Hayden Christensen,Natalie Portman,Action,7.6,USA,19-May-05
C-Bar,2015,Patrick Ball,Mark Baugher,Sande Comenzind,Western,7.9,USA,1-May-15
Eaten Alive! The Rise and Fall of the Italian Cannibal Film,2015,Calum Waddell,Frank Henenlotter,Robert Kerman,Documentary,7,USA,12-May-15
Fame Dogs,2016,None,Sylvia Batey AlcalÃ¡,Christina Leone,Comedy,8.6,USA,2016
Portrait of a White Marriage,1988,Harry Shearer,Martin Mull,Mary Kay Place,Comedy,5.2,USA,NA
Shadow Fury,2001,Makoto Yokoyama,Sam Bottoms,Masakatsu Funaki,Action,3.8,USA,1-Jul-02
The Discoverers,2012,Justin Schwarz,Griffin Dunne,Madeleine Martin,Comedy,5.6,USA,16-May-14
Panic Button,1964,Giuliano Carnimeo,Maurice Chevalier,Eleanor Parker,Comedy,5.8,USA,Apr-64
Blink,2007,Craig Miller,Marisa Brown,Brett Jacobsen,Drama,7.7,USA,17-Aug-07
Four Brothers,2005,John Singleton,Mark Wahlberg,Tyrese Gibson,Action,6.9,USA,1-Jul-05
For Your Consideration,2006,None,Catherine O'Hara,Harry Shearer,Comedy,6.3,USA,22-Nov-06
My Bloody Wedding,2010,Morgan Mead,Morgan Mead,Patrick Babbitt,Comedy,3.1,USA,2010
Seize the Day,1986,Fielder Cook,Robin Williams,Richard B. Shull,Drama,6.1,USA,9-Sep-86
Turtle Island,2013,David Wexler,Elizabeth Alderfer,Rik Burns,Horror,5.7,USA,2013
Colby,2016,Alex Markman,Stephanie Brait,Matthew Dixon,Drama,8.5,USA,25-Apr-16
Team-Mates,1978,Steven Jacobson,Karen Corrado,Max Goff,Comedy,5.8,USA,Sep-78
Good Neighbor,2001,Todd Turner,Billy Dee Williams,Danica McKellar,Thriller,4,USA,NA
Shining Through,1992,David Seltzer,Michael Douglas,Melanie Griffith,Drama,6.4,USA,31-Jan-92
Big Fat Liar,2002,Shawn Levy,Frankie Muniz,Amanda Bynes,Adventure,5.4,USA,8-Feb-02
The Curse of the Death Cat,2012,Tom Zarzecki,Christopher Bokhari,Paul Cary,Biography,6.4,USA,4-Apr-12
Girl in Woods,2016,Jeremy Benson,Charisma Carpenter,Juliet Reeves London,Drama,3.4,USA,3-Jun-16
Mockingbird,2014,Bryan Bertino,Alexandra Lydon,Todd Stashwick,Horror,4.1,USA,7-Oct-14
The Wizard of Gore,1970,Herschell Gordon Lewis,Jim Rau,Don Alexander,Horror,5.5,USA,23-Oct-70
Head Case,2007,Anthony Spadaccini,Paul McCloskey,Barbara Lessin,Drama,4.9,USA,8-Sep-07
Nightcomer,2013,None,Mackenzie Rosman,Timothy Busfield,Horror,7.2,USA,2013
The Perfect Tenant,2000,Doug Campbell,Linda Purl,Maxwell Caulfield,Thriller,4.7,USA,25-Jul-00
Soupernatural,2010,Christopher Noice,Butch Patrick,Mark Goddard,Drama,6.7,USA,2010
Endless Love,2014,Shana Feste,Gabriella Wilde,Alex Pettyfer,Drama,6.3,USA,14-Feb-14
Max Von Sydow: Dialogues with The Renter,2012,Cedric Brelet von Sydow,Thomas Horn,Chris Menges,Documentary,6.9,USA,27-Mar-12
Black Aura on an Angel,2004,None,Elle Richardson,Deborah Duke,Thriller,7.3,USA,12-Jun-04
Scar,2005,Rahil Bhorania,Randy Wayne,Ashley C. Nelson,Horror,3.3,USA,20-Jul-05
Reality TV Movie,2014,None,Tytus Bergstrom,Li Wen Ang,Comedy,7.9,USA,13-Nov-14
Queen Crab,2015,Brett Piper,Steve Diasparra,Danielle Donahue,Action,4.3,USA,29-Sep-15
Up in Flames,1978,None,Colleen Anderson,Richard Mailer,Adult,3.3,USA,1978
Happy Hour,2011,None,Jessica Russo,Kari Bars,Thriller,5.4,USA,NA
PCU,1994,Hart Bochner,Jeremy Piven,Chris Young,Comedy,6.6,USA,29-Apr-94
The Spy in the Green Hat,1967,Joseph Sargent,Robert Vaughn,David McCallum,Action,5.9,USA,3-Feb-67
Dark Intruder,1965,Harvey Hart,Leslie Nielsen,Peter Mark Richman,Horror,6.4,USA,21-Jul-65
Big Trouble in Little China,1986,None,Kurt Russell,Kim Cattrall,Action,7.3,USA,2-Jul-86
The Aviator,1985,George Miller,Christopher Reeve,Rosanna Arquette,Adventure,5.5,USA,15-Mar-85
Kotch,1971,Jack Lemmon,Walter Matthau,Deborah Winters,Comedy,6.7,USA,17-Sep-71
The Sisterhood,1988,Cirio H. Santiago,Robert Dryer,Rebecca Holden,Action,3.6,USA,Jan-88
Jack Goes Boating,2010,None,Philip Seymour Hoffman,Amy Ryan,Drama,6.4,USA,29-Dec-10
Saints and Soldiers: Airborne Creed,2012,Ryan Little,Corbin Allred,David Nibley,Action,5.7,USA,17-Aug-12
Living with Trevor,2017,Calob Robinson,Gage Clift,Adam Robinson,Comedy,7.2,USA,25-Aug-17
Sherman's Way,2008,Craig M. Saavedra,James Le Gros,Enrico Colantoni,Comedy,5.5,USA,6-Mar-09
Rock Hudson's Home Movies,1992,Mark Rappaport,Burl Ives,Otto Kruger,Biography,6,USA,1992
The Amazing World of Psychic Phenomena,1976,Robert Guenette,Linda Gray,Kathryn Grayson,Documentary,6.6,USA,18-Jun-76
Love on the Run,1988,Fred J. Lincoln,Megan Leigh,Joey Silvera,Adult,6.5,USA,NA
Haunts,1977,Herb Freed,May Britt,Cameron Mitchell,Horror,5,USA,Jul-77
The Bounce Back,2016,Youssef Delara,Shemar Moore,Nadine Velazquez,Comedy,4.8,USA,9-Dec-16
Champions of the Deep,2012,Baxter Churchville,Tyler Weaver Jr.,Dayna Huor,Action,7.8,USA,10-Aug-12
Motivational Growth,2013,Don Thacker,Jeffrey Combs,Adrian DiGiovanni,Comedy,5.8,USA,9-Nov-13
Macbeth,2003,Bryan Enk,Peter B. Brown,Moira Stone,Drama,7.3,USA,22-Feb-03
Film Geek,2005,James Westby,Melik Malkasian,Ritah Parrish,Comedy,6.2,USA,28-Jan-05
Maxie,1973,Paulmichel Mielche,K.T. Baumann,Morgan Upton,Horror,3.2,USA,1973
Instant Dads,2005,Derek Maki,Louis Aguilar,L.K. Avelar,Drama,7.7,USA,30-May-05
Ma,2015,Celia Rowlson-Hall,Kentucker Audley,Matt Lauria,Drama,6.8,USA,19-Apr-15
Bride of Chucky,1998,Ronny Yu,Jennifer Tilly,Brad Dourif,Comedy,5.4,USA,16-Oct-98
Funny Games,2007,Michael Haneke,Naomi Watts,Tim Roth,Crime,6.5,USA,4-Apr-08
43: The Richard Petty Story,1972,None,Darren McGavin,Kathie Browne,Biography,6.3,USA,Nov-72
The Love Inside,2015,Mark Smoot,Kat Foster,Joey Kern,Comedy,6,USA,NA
Apart,2010,Afdhere Jama,Ajibike Adekoya,Luis Anguiano,Drama,4.7,USA,NA
Angela,1995,Rebecca Miller,Miranda Rhyne,Charlotte Eve Blythe,Drama,6.4,USA,Jan-95
A Fronteira,2003,Roberto Carminati,Gilberto Torres,Debora Balardini,Drama,6.2,USA,3-Nov-03
9,2009,Shane Acker,Elijah Wood,Jennifer Connelly,Action,7.1,USA,9-Sep-09
Rock Bottom,2002,Steven O'Connell,Michael DeNigris,Rich Vos,Comedy,6.8,USA,1-Jul-02
Death Bed: The Bed That Eats,1977,George Barry,Demene Hall,William Russ,Horror,4.4,USA,11-Feb-10
Born of Earth,2008,Tommy Brunswick,Daniel Baldwin,James Russo,Horror,3.7,USA,20-Jul-08
"The Red, Black and Blonde: God $ave",2011,None,Al Bianchi,Thomas Brown,Action,7.4,USA,18-Oct-11
Boricua,2004,Marisol Adler,Mariluz Adler,Christian S. Anderson,Drama,6.4,USA,5-May-04
That's the Way of the World,1975,Sig Shore,Harvey Keitel,Ed Nelson,Drama,6.3,USA,Jun-75
Bleeding Hearts,1994,Gregory Hines,Mark Evan Jacobs,Karen Kirkland,Drama,6,USA,22-Sep-95
The Art of War,2000,Christian Duguay,Wesley Snipes,Anne Archer,Action,5.7,USA,25-Aug-00
Dark Voices,2001,Chosei Funahara,Kate Rene Gleason,Shannon Lenahan,Thriller,7.6,USA,NA
Evil Dead,2013,Fede Alvarez,Jane Levy,Shiloh Fernandez,Fantasy,6.5,USA,5-Apr-13
Asian Stories,2006,Kris Chin,James Kyson,Kathy Uyen,Comedy,6.9,USA,1-Apr-06
The Crimson Mask,2009,Elias Plagianos,Robert Clohessy,Josh Burrow,Thriller,6.6,USA,26-Mar-09
Blow a Kiss,2016,None,Johanna Goldsmith,Nina Laskowski,Action,2.9,USA,NA
The Happening,1967,Elliot Silverstein,Anthony Quinn,George Maharis,Comedy,5.6,USA,Mar-67
Transformers: Age of Extinction,2014,Michael Bay,Mark Wahlberg,Nicola Peltz,Action,5.7,USA,27-Jun-14
Bug Off!,2001,T.C. Christensen,Steve Anderson,Briana Shipley,Comedy,3.7,USA,1-Aug-01
Dishonorable Vendetta,2012,None,Chris Corulla Jr.,AndrÃ© Joseph,Action,6.9,USA,24-Apr-13
Operation Delta Force 5: Random Fire,2000,Yossi Wein,Trae Thomas,Todd Jensen,Action,3.9,USA,2000
Michael Myers: Absolute Evil,2016,None,Brenda Arsenault,Marc Arturi,Horror,6.4,USA,31-Mar-16
For Richer or Poorer,1997,Bryan Spicer,Tim Allen,Kirstie Alley,Comedy,5.7,USA,12-Dec-97
Pennsylvania Holy Ghosts,2014,Ryan Pomeranz,Bob Walz,Kevin Laibson,Comedy,7.7,USA,25-Jan-14
Cordoba Nights,2007,Lucas Campbell,Raymond Turturro,Ashleigh Holeman,Adventure,7.7,USA,13-Mar-07
The Dempsey Sisters,2013,Roger Melvin,Denyce Lawton,Lynn Whitfield,Family,6.1,USA,NA
Monkey Love,2002,Mark Stratton,Jeremy Renner,Seamus Dever,Comedy,5.2,USA,12-Jun-02
Monday,2006,Heidi Van Lier,Ele Keats,Michael Tubman,Comedy,5.7,USA,24-Jan-06
Star Crystal,1986,Lance Lindsay,C. Juston Campbell,Faye Bolt,Horror,3.3,USA,Apr-86
Dream Lovers,1980,Kim Christy,Loni Sanders,Sulka,Adult,6.9,USA,NA
The Cruel Tale of the Medicine Man,2016,James Habacker,David Adamovich,Minx Arcana,Comedy,7.7,USA,15-Oct-16
The Party Is Over,2015,Vahe Gabuchian,Tamara Dhia,Kyle Mooney,Comedy,5.2,USA,1-May-15
Female Athletes,1980,Leonard Kirtman,Chris Cassidy,Bonnie Holiday,Adult,7.5,USA,4-Oct-80
Free Samples,2012,None,Jess Weixler,Jesse Eisenberg,Comedy,5.6,USA,20-Apr-12
Once Upon a Time: The Rock Opera,2015,None,Erin Stegeman,Ace Marrero,Adventure,8,USA,25-Sep-15
Solace,2015,Afonso Poyart,Anthony Hopkins,Jeffrey Dean Morgan,Crime,6.4,USA,16-Dec-16
The Pope of Greenwich Village,1984,Stuart Rosenberg,Eric Roberts,Mickey Rourke,Action,6.7,USA,22-Jun-84
Four Fifteen,2011,None,Jackie Costello,Niyi Oni,Drama,8,USA,2011
A New York Heartbeat,2013,Tjardus Greidanus,Escher Holloway,Rachel Brosnahan,Crime,5.9,USA,19-Jul-13
Asylum,2003,Nigel Barker,Gary Condes,Tony Resta,Drama,7,USA,19-Jan-03
El escape de los Santos,2005,Ricardo Mendoza Wheeler,Orlando Arreola,Ramiro Briones,Drama,8.7,USA,10-Dec-05
The New Age,1994,Michael Tolkin,Peter Weller,Judy Davis,Comedy,5.7,USA,16-Sep-94
Impact Point,2008,Hayley Cloake,Brian Austin Green,Melissa Keller,Thriller,4.3,USA,17-Jul-08
Armed Response,1986,Fred Olen Ray,David Carradine,Lee Van Cleef,Action,5,USA,3-Oct-86
The Collection,1970,Tom DeSimone,Poco Alan,Nicholas Grippo,Adult,9,USA,9-Sep-70
An Appointment with Mr. Vield,2017,Jennifer Foreman,Keri Barker,Simone Leorin,Drama,7,USA,17-Mar-17
Surrogative,2014,None,Halley Barrett,David Andrew Cooke,Comedy,8.5,USA,23-Nov-14
A Feeling from Within,2012,Michael Yebba,William Lee Scott,Jamie Hector,Drama,4.3,USA,29-Sep-12
"Battle: New York, Day 2",2011,Andrew Bellware,Danielle Quisenberry,Kathleen Kwan,Sci-Fi,2,USA,21-Nov-11
Hood of Horror,2006,Stacy Title,Snoop Dogg,Daniella Alonso,Comedy,4,USA,12-Dec-07
Death Plots,2005,Jason Liquori,Cyndi Crotts,Forest Crumpler,Horror,4,USA,31-Aug-05
Hell Night,1981,Tom DeSimone,Linda Blair,Vincent Van Patten,Horror,5.8,USA,28-Aug-81
Witness,1985,Peter Weir,Harrison Ford,Kelly McGillis,Crime,7.4,USA,8-Feb-85
Stash,2007,Jacob Ennis,Karen Boles,Nathan Day,Horror,3.1,USA,4-Nov-07
BLDNG Movie,2015,Tawd B. Dorenfeld,Tyler Bradberry,Victoria de Los Angeles,Horror,2.6,USA,1-Apr-15
A Man Called Jon,2015,M. Legend Brown,Christian Heep,Sharice Henry Chasi,Comedy,7.5,USA,25-Oct-15
Mean Creek,2004,Jacob Estes,Rory Culkin,Ryan Kelley,Crime,7.3,USA,29-Sep-04
The Group,1973,None,John Holmes,Devon Mayer,Adult,6.2,USA,23-Nov-73
BFFs,2014,Andrew Putschoegl,Larisa Oleynik,Jenny O'Hara,Comedy,5.4,USA,31-Jan-14
Fast & Furious,2009,Justin Lin,Vin Diesel,Paul Walker,Action,6.6,USA,3-Apr-09
Home,2016,Frank Lin,Heather Langenkamp,Samantha Mumba,Drama,4,USA,Mar-16
Song Without End,1960,George Cukor,Dirk Bogarde,Capucine,Biography,6,USA,19-Sep-60
Land Shark,2017,Mark Polonia,Sarah French,Peter Baldo,Action,2.4,USA,27-Jun-17
The Longshot,1986,Paul Bartel,Tim Conway,Jack Weston,Comedy,5.5,USA,17-Jan-86
Cut Bank,2014,Matt Shakman,Michael Stuhlbarg,Bruce Dern,Thriller,6,USA,3-Apr-15
Prism,2015,Cal Robertson,Brianna Hildebrand,Christy Carlson Romano,Drama,6.4,USA,2015
The Chop,2017,Jack Davis,Adrienne Fischer,Tom Mirth,Action,8.4,USA,26-Aug-17
Car Babes,2006,Chris Wolf,Ben Savage,Jon Gries,Comedy,5.6,USA,26-Dec-06
Make Me Want It,1986,Michael Carpenter,Sheri St. Claire,Helga Sven,Adult,6,USA,NA
Rockwell,1994,Richard Lloyd Dewey,Linda Gilbert,Shantal Hiatt,Western,4.2,USA,NA
Amber Rose,2010,Mike Trippiedi,Joe Dempsey,Carolyn Kodes-Atkinson,Drama,8.3,USA,NA
Schism,2008,John C. Lyons,Ruth Thoma Andrews,Karly Bender,Drama,8.9,USA,17-Apr-08
They Came Together,2014,David Wain,Paul Rudd,Amy Poehler,Comedy,5.5,USA,5-Sep-14
Mascots,2016,Christopher Guest,Zach Woods,Wayne Wilderson,Comedy,5.8,USA,13-Oct-16
Spread,2009,David Mackenzie,Ashton Kutcher,Anne Heche,Comedy,5.9,USA,8-Jul-09
Stoogemania,1986,Chuck Workman,Josh Mostel,Melanie Chartoff,Comedy,4.3,USA,Jun-86
Deprivation,2017,Brian Skiba,Gianni Capaldi,Dominique Swain,Horror,5.6,USA,16-Jan-17
Cthulhu,2007,Dan Gildark,Jason Cottle,Casey Curran,Drama,4.7,USA,14-Jun-07
Kenny & Company,1976,Don Coscarelli,Dan McCann,A. Michael Baldwin,Comedy,7.6,USA,Nov-76
Orgy at Lil's Place,1963,Jerald Intrator,Davee Decker,Karen Lynn,Drama,7.6,USA,1-Oct-67
Rhinestone Cowgirls,1981,Damon Christian,Rhonda Jo Petty,Yvette Cole,Adult,6.8,USA,NA
Inside Baby Sister,1977,Rik TazÃ­ner,Don Holiday,Jody Egor,Adult,5.6,USA,Apr-77
Morality,2016,None,Michael Denarlo,Joe Swiatek,Drama,8.6,USA,14-May-16
Batman: Return of the Caped Crusaders,2016,Rick Morales,Adam West,Burt Ward,Action,7,USA,11-Oct-16
The Poker Club,2008,Tim McCann,Johnny Messner,Michael Risley,Crime,5.2,USA,16-Oct-08
Sick Girl,2007,Eben McGarr,Leslie Andrews,John McGarr,Crime,4.6,USA,1-Oct-07
It Comes at Night,2017,Trey Edward Shults,Joel Edgerton,Christopher Abbott,Horror,6.2,USA,9-Jun-17
Decay,2015,Joseph Wartnerchaney,Rob Zabrecky,Lisa Howard,Drama,4.4,USA,Nov-15
Mr. Fix It,2006,Darin Ferriola,David Boreanaz,Alana De La Garza,Comedy,5.7,USA,26-Dec-06
Spy,2011,None,Vincent Pastore,Ben Curtis,Action,6.5,USA,9-Aug-11
Squad Car,1960,Ed Leftwich,Vici Raaf,Paul Bryar,Crime,3.8,USA,Sep-60
Improvement Club,2013,None,Maggie Brown,Dayna Hanson,Comedy,5.7,USA,10-Mar-13
Life for Sale,2008,Kimberli Zou,Jana Grant,Larry Myers,Documentary,7,USA,Mar-08
Branded Red,2017,None,Preston Fischer,Reese Koster,Thriller,5.8,USA,4-Feb-17
Horrorama,1989,None,Noah Clark,Scarlet Fry,Horror,4.5,USA,29-Dec-89
Dirt Cheap Therapy,2011,None,Alexa Yeames,Tara-Nicole Azarian,Comedy,7.1,USA,NA
Book of Shadows: Blair Witch 2,2000,Joe Berlinger,Jeffrey Donovan,Stephen Barker Turner,Adventure,4,USA,27-Oct-00
Cellar Secret,2016,Michael Wade Johnson,Joe DeBartolo,Portia Chellelynn,Horror,7.9,USA,4-Dec-16
The Rodnees: We Mod Like Dat!,2005,Lindley Farley,Jackie Almonte,Ashley Arnold,Comedy,7.4,USA,8-Jun-05
The Love Patient,2011,Michael Simon,Benjamin Lutz,John Werskey,Comedy,5.3,USA,6-May-11
Born to Be Maid,1987,Vinnie Rossi,Billy Dee,Jonathan Lee,Adult,4.3,USA,NA
The Danger Zone,1987,Henry Vernon,Michael Wayne,Jason Williams,Action,4.8,USA,5-Nov-87
Cease Fire,1985,David Nutter,Don Johnson,Lisa Blount,Drama,6.5,USA,18-Oct-85
Where Demons Dwell: The Girl in the Cornfield 2,2017,Ryan Callaway,Madeline Lupi,Michelle Lulic,Horror,5.7,USA,13-Jan-17
Across the Tracks,1990,Sandy Tung,Ricky Schroder,Brad Pitt,Drama,5.7,USA,15-Feb-91
The Golden Box,1970,Donald A. Davis,Marsha Jordan,Ann Perry,Action,5,USA,17-Feb-70
Deathtrap,1982,Sidney Lumet,Michael Caine,Christopher Reeve,Comedy,7,USA,19-Mar-82
Road Trip,2013,The Lowpriest,Rachel Shatto,Sara Jackson,Horror,6.7,USA,19-Oct-13
After Freedom,2002,Vahe Babaian,Mic Tomasi,Sophie Chahinian,Drama,6.4,USA,14-May-04
Geronimo,1962,Arnold Laven,Chuck Connors,Kamala Devi,Action,5.9,USA,1-May-62
Suck it Up Buttercup,2014,Malindi Fickle,Lacy Marie Meyer,Robyn Ross,Drama,8.2,USA,12-Apr-14
Burning Down the House: The Story of CBGB,2009,Mandy Stein,Jayne County,Jayne County,Documentary,7.7,USA,24-Apr-09
Vagrant,2008,Lou Vockell,Rachael Lewis,Jenna Heggem,Horror,6.1,USA,14-Jun-08
Thrilled to Death,1988,Chuck Vincent,Blake Bahner,Krista Lane,Thriller,5,USA,7-Dec-89
Summer Session,1975,George Savage,Andrea True,Franklin Anthony,Adult,4.5,USA,Aug-75
Gimme Shelter,2013,Ron Krauss,Vanessa Hudgens,Rosario Dawson,Drama,6.5,USA,29-Oct-14
"Run, Cougar, Run",1972,Jerome Courtland,Stuart Whitman,Frank Aletter,Drama,6.7,USA,18-Oct-72
Star Wars: The Clone Wars,2008,None,Matt Lanter,Nika Futterman,Action,5.9,USA,15-Aug-08
